	d0_0	d0_1	d0_2	d0_3	d0_4	d0_5	d0_6	d0_7	d0_8	d0_9	d0_10	d0_11	d0_12	d0_13	d0_14	d0_15	d0_16	d0_17	d0_18
d1_0	0	0.0049592	0.00545021	0.00300521	0.00212415	0.0027057	0.00220418	0.00126079	0.00162047	0.000738433	0.000895386	0.00139258	0.000811034	0.00023581	0.000345018	0.000469414	0.000112989	1.28969e-05	2.17648e-09
d1_1	0.0968698	0.00674295	0.00544659	0.00471557	0.00279387	0.00184124	0.00296833	0.0024302	0.00210498	0.00142495	0.00175325	0.00117738	0.00116559	0.000385974	0.000639458	0.000405994	0.000539736	0.000427271	0.000450888
d1_2	0.0728481	0.00656901	0.00558866	0.00488753	0.00379954	0.00377196	0.00355641	0.00297565	0.00278417	0.00170203	0.00172512	0.000719301	0.00160824	0.00142298	0.0015524	0.0011636	0.000156231	0.000406928	0.000339477
d1_3	0.0533239	0.00534244	0.00566219	0.00715792	0.00443082	0.00364702	0.00301003	0.00257282	0.00419481	0.00270401	0.00194007	0.0025396	0.00104107	0.000890873	0.000906735	0.00140847	0.000327268	0.000407654	0.000683119
d1_4	0.0316426	0.00543407	0.0062154	0.00450999	0.00352356	0.00374705	0.00349501	0.00292578	0.0022107	0.00273187	0.00289631	0.00225993	0.00120475	0.00190405	0.00130971	0.000940654	0.000436435	0.000141448	0.000278001
d1_5	0.0219828	0.00593772	0.00382828	0.00491121	0.00336729	0.00254583	0.00284268	0.00294878	0.00260909	0.00204513	0.0018517	0.00159861	0.0014281	0.00181687	0.00108439	0.00183538	0.00117029	0.000647262	0.000374535
d1_6	0.0178031	0.00440121	0.00424886	0.00297675	0.00256909	0.0024827	0.00392148	0.00391997	0.00264458	0.001591	0.0025893	0.00240116	0.00146065	0.00166734	0.00142913	0.00150458	0.000611992	0.000470953	0.000776942
d1_7	0.0118203	0.00242994	0.00288767	0.00415039	0.00407982	0.00246262	0.00363361	0.00223204	0.00204794	0.00174835	0.00221798	0.00311218	0.00216045	0.00208081	0.00120597	0.000912489	0.00168574	0.00100686	0.00165054
d1_8	0.00856192	0.00379364	0.00300093	0.00213405	0.00261315	0.00205258	0.00224499	0.00318161	0.00225178	0.00175175	0.00234132	0.00181073	0.00218231	0.00264532	0.000676295	0.0025382	0.00112527	0.00113242	0.0019126
d1_9	0.00447078	0.00190619	0.00256815	0.00173089	0.00163633	0.00137155	0.00218148	0.00238931	0.00295498	0.00235566	0.00263108	0.00259719	0.00215079	0.00125227	0.000683985	0.00144265	0.00134755	0.000471112	0.00448398
d1_10	0.00560938	0.000196082	0.00201445	0.000994701	0.00112176	0.00175198	0.00167863	0.00225896	0.00198115	0.00157122	0.00195579	0.00197604	0.00198285	0.00104165	0.00138468	0.00129723	0.0022322	0.00243343	0.00352014
d1_11	0.00170417	0.000663973	0.000747295	0.00204463	0.000617493	0.00193464	0.00156435	0.00189749	0.00200626	0.00104121	0.00158606	0.00162977	0.00166236	0.00098073	0.00264769	0.00097261	0.00252781	0.00244269	0.00478646
d1_12	0.00142373	0.000706613	0.00115092	0.00102598	0.00098137	0.00120797	0.00145919	0.002307	0.00186326	0.00075433	0.00156899	0.00163208	0.00192288	0.00195974	0.00196755	0.00237976	0.00114868	0.00116523	0.00573603
d1_13	0.000606271	0.00024366	0.000534021	0.000556936	0.000916611	0.000864557	0.000666148	0.00141569	0.00155188	0.000444956	0.00155469	0.00173608	0.00182136	0.000937219	0.00089951	0.00253217	0.00156203	0.00229314	0.00672658
d1_14	3.91596e-05	0.000453381	0.000182745	0.00063308	0.000444679	0.000743162	0.000928649	0.000763779	0.00131272	0.000952883	0.00130619	0.000846124	0.00183963	0.000934029	0.00128226	0.00155638	0.00163252	0.0023838	0.00603261
d1_15	6.09149e-05	0.000130532	0.000292392	0.000322849	0.000368972	0.000985068	0.000644736	0.000868038	0.000730979	0.000836275	0.000609149	0.000822351	0.00126964	0.000807399	0.000842656	0.00138886	0.00162295	0.00178481	0.0087307
d1_16	0.000304575	1.2183e-05	0.00024366	0.00024366	2.08851e-05	0.000353307	0.000609149	0.00141932	0.000659912	0.000924456	0.00134883	0.000609149	0.000505594	0.000182745	0.00154318	0.00225385	0.00132795	0.00146196	0.0110668
d1_17	0	0.000182745	0	0.000548234	0.000548234	0.000182745	0.000456862	0	0.000639607	0.000292392	0.000852809	0.000548234	0.0010341	0.000292392	0.000386375	0.00112693	0.00157422	0.000901541	0.0117348
d1_18	0.00024366	0.000182745	0.000182745	0	0	0	0.000426404	0.000487319	0.000487319	0.000292392	0.00024366	0.00024366	0.000609149	0.00024366	6.09149e-05	0.000670064	0.000913724	0.00111474	0.01168
d1_19	0	0	0	0.00024366	6.09149e-05	0	0.000182745	0.000182745	0	0	0.000182745	0.000182745	0.000475136	0.000365489	0	0.000182745	0.000791894	0.000730979	0.0272686
